,user,text
79,awlahMaestro,@KimmyKy2 Actuarial Science w/ comp sci minor
80,nicholdav,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
81,rhovdey,@KimmyKy2 Biomedical Science!
82,HendraRespati,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
83,WMwisp,@KimmyKy2 Education  and sociology. Really got interested in quantitative analysis from my social science research and statistics class.
84,grizr1,@KimmyKy2 @rstats4ds English and Classical Humanities
85,am_innocenter,@KimmyKy2 Math and computer science @threadreaderapp
86,MeerMaurits,@KimmyKy2 Mathematics
87,Dario_barcelona,RT @jcllobet: @KimmyKy2 @BecomingDataSci Industrial Engineering (no major takeawayes besides the scientific method). Now creating https://t…
88,data_jackalope,"@KimmyKy2 Undergrad: Psychology, minor in Econ.

Dropped out of an MA/PhD program in Folklore, and then dropped out… https://t.co/WNEAfy8VAo"
89,Gilly_yy,@rmflight @KimmyKy2 Hi Dr.Robert I am new to metabolic bioinformatics. As q newbie to analyse MS-metabolomics data.… https://t.co/r8DTGssvso
90,WendyPickel,@KimmyKy2 Psychology
91,vijaygagu,@KimmyKy2 Statistics
92,lariebyrd,@KimmyKy2 Chemistry
93,russellcbrown,@KimmyKy2 Psychology
94,tjmahr,@KimmyKy2 Linguistics and English
95,statML_collin,"@KimmyKy2 Math. 

Then MSc in machine learning and PhD in statistics."
96,KerrySway,@KimmyKy2 Financial Engineering
97,nsmith_piano,@quantum_relic @KimmyKy2 I was a music major too. Piano pedagogy and math undergraduate. MM and DMA piano performance
98,ZimanaAnalytics,@KimmyKy2 Mechanical Engineering with a MBA later on. ^PDeB
99,jjbergerl,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
100,LaurenEngle,@KimmyKy2 Undergrad: Economics and Finance Grad: Analytics
101,categitau_,"@KimmyKy2 Mathematics and Computer science, majored in Statistics."
102,VCampanacho,@KermytAnderson @KimmyKy2 Anthropology
103,Data_Guru_,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
104,giuice,@KimmyKy2 Computer Science
105,quantum_relic,@KimmyKy2 Undergraduate degree was Broad Area Music. Master's degree was Information Systems Management.
106,rkahne,"@KimmyKy2 Undergrad: Poli Sci and Economics,
Masters: Public Policy.  Tons of econometrics in policy degrees, so it… https://t.co/0I6ab0FKdh"
107,apolmig,RT @jcllobet: @KimmyKy2 @BecomingDataSci Industrial Engineering (no major takeawayes besides the scientific method). Now creating https://t…
108,natewjessee,@KimmyKy2 Political Science
109,nophilterphil,@KimmyKy2 Business/Econ
110,rogers_k8,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
111,jcllobet,@KimmyKy2 @BecomingDataSci Industrial Engineering (no major takeawayes besides the scientific method). Now creating… https://t.co/X9tVr4CXHa
112,rmflight,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
113,rmflight,"@KimmyKy2 Biology-Chemistry. MSc in Chemistry, PhD in Chemistry. Didn't start programming until PhD.

I do metabolo… https://t.co/1LxK6U3TcW"
114,Sopcaja,@KimmyKy2 (pure) math + physics
115,unless_if,"@KimmyKy2 Physics, minor in Math"
