,user,text,clean_response,clean_response_2,clean_response_3
67,jimmyczech,"@KimmyKy2 Electrical Engineering, Applied and Computational Math.  People want to call me data scientist but I resist that label.",Engineering,Math,
68,psychologyih,@KimmyKy2 Psychology (ended up getting MS and PhD too) and Economics,Psychology,Economics,
69,psychologyih,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
70,Breza,@KimmyKy2 Human Services,Human Services,,
71,taylorterry,@KimmyKy2 Social Studies,Social Studies,,
72,SuusJC,"@KimmyKy2 Originally, Theoretical Physics. Then an MSc in geophysical fluid Dynamics, under the Applied Maths banne… https://t.co/ZdtBQubvQk",Physics,,
73,healthstatsdude,"@ChristianNolan @KJoyPayton @KimmyKy2 whatever brings in the most utility is gonna be a virtue! 😁 

(i should proba… https://t.co/jcWAIlSfnr",,,
74,AmberRaeToro,@KimmyKy2 Digital Marketing Analyst here my major is Computer Science,Computer Science,,
75,ChristianNolan,@healthstatsdude @KJoyPayton @KimmyKy2 Oh I’m no Stats Philosopher! But I think I use Philosophy more than anything… https://t.co/fBaqAI1ZAF,,,
76,healthstatsdude,@KJoyPayton @KimmyKy2 i ... kant ... believe there are this many stats philosophers!,,,
77,ChristianNolan,@KJoyPayton @healthstatsdude @KimmyKy2 Also Philosophy! @healthstatsdude I knew there was a reason I liked you right away 😁,Philosophy,,
78,Shums36236511,@KimmyKy2 Many consider themselves data scientists these days. Losing its meaning. According to some a 3 month boot camp will suffice.,,,
79,condwanaland,@KimmyKy2 Marine Biology,Biology,,
80,oliviatoth8,@KimmyKy2 Data Analytics and Sociology double major and minors in CS and Math,Analytics,Sociology,
81,aldosantiago,"@KimmyKy2 Civil Engineering
M Planning and systems
MBA finance",Engineering,,
82,DrKashik,@KimmyKy2 Chemical Engineering and Chemistry (BS for both),Engineering,Chemistry,
83,i_am_camilo,"@KimmyKy2 Economics, postgrad in IT.",Economics,,
84,mphemming,"@KimmyKy2 Oceans, climate and Physical geography, followed by oceanography-based masters and PhD",Geography,,
85,richardvenusfo,@KimmyKy2 Mathematics and postgrad information mamagement with some DS,Math,,
86,FormulasForRef,@KimmyKy2 Mathematics,Math,,
87,MarkNagelberg,@KimmyKy2 Economics and math,Economics,Math,
88,thomesaux,@KimmyKy2 Chemistry,Chemistry,,
89,jesswoodyward,"@KimmyKy2 Undergrad in physics, PhD in genetics 🧬",Physics,,
90,Dr_BS,@KimmyKy2 Psychology,Psychology,,
91,Deiv101,@KimmyKy2 Computational Mathematics and Actuarial Science.,Math,Actuarial Science,
92,datadanlarson,@KimmyKy2 Sociology,Sociology,,
93,rileymsmith19,"@KimmyKy2 Undergrad: Psychology + English Rhetoric, minor in Philosophy. Grad: Applied Psychology",Psychology,English,
94,JesseOPiburn,@KimmyKy2 Geography,Geography,,
95,BarkleyBG,@KimmyKy2 math and french double! Not sure which one is more relevant some days.,Math,French,
96,mrworthington,"@KimmyKy2 Undergrad: BA English (Composition &amp; Rhetoric)
Grad 1: MEd in Special Education
Grad 2: MPAff in Public Policy",English,,
97,mattmulvahill,"@KimmyKy2 Sociology in undergrad, Biostats in grad school",Sociology,,
98,VMart,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
99,AMULETAnalytics,@KimmyKy2 Mathematics and computer science,Math,Computer Science,
100,indyrader,"@KimmyKy2 BS: Physics &amp; Mathematics
MS: Physics
PhD: Physics &amp; Biochemistry",Physics,Math,
101,Thomas_Bio,"@KimmyKy2 Physics, biophysics",Physics,,
102,malai_san,@KimmyKy2 Computer science,Computer Science,,
103,JBalloonist,@KimmyKy2 Accounting,Accounting,,
104,RobCalver5,@KimmyKy2 Wow what a variety of backgrounds. Barely a math grad in sight!,,,
105,phalanges,"@KimmyKy2 BSc: cognitive science, psychology
MA/PhD: brain and cognitive sciences",Psychology,Cognitive Science,
106,GarethNetto,@KimmyKy2 Biological Sciences / Ecology,Biology,Ecology,
107,benidjohan,@KimmyKy2 Mechanical Engineering,Engineering,,
108,emkayoh,@KimmyKy2 BSc optometry BA mathematics MSc ophthalmology PhD neuroscience,Math,Optometry,
109,nosimpler_me,@KimmyKy2 Operations Research (OR),Operations Research,,
110,huzefabw,"@KimmyKy2 BS: Mechanical Engineering, MS: Operations Research",Engineering,,
111,liz_herdter,@KimmyKy2 Biology with a Spec in Conservation Ecology,Biology,,
112,YardimciAtilla,@KimmyKy2 Statistics (dr) and software,Statistics,,
113,michela_9,"@KimmyKy2 BSc: biology
MSc: biostatistics",Biology,,
114,suminisweird,@KimmyKy2 Law; Political Science,Political Science,,
115,TomJSeiple,"@KimmyKy2 Environmental Science BS, and Masters in Urban Planning",Environmental Science,,
116,darilbrown,@KimmyKy2 @nicholdav Mechanical Engineering,Engineering,,
