,user,text,clean_response,clean_response_2,clean_response_3
297,Traci_Carson_,"@KimmyKy2 Sports Management, B.A. 
Health Behavior, MPH 
Currently: Epidemiology, PhD candidate",Sports Management,,
298,TazPoltorak,@KimmyKy2 English,English,,
299,BenListyg,"@KimmyKy2 Undergrad: Psychology w/ a minor in Statistics.

Graduate: Industrial - Organizational Psychology",Psychology,,
300,mdsumner,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
301,mdsumner,@KimmyKy2 Plant Science and Geography,Plant Science,Geography,
302,adhaamehab,@KimmyKy2 Computer Science,Computer Science,,
303,thisistonylu,@KimmyKy2 Geography FTW!,Geography,,
304,daoteajing,@KimmyKy2 Ecology,Ecology,,
305,lewdacris_,@KimmyKy2 “Quantitative Science” which was all statistics and economics classes,Statistics,Economics,
306,jbensnyder,"@KimmyKy2 BA/MA - Sociology
MS - Computer Engineering",Sociology,,
307,gro7or,@KimmyKy2 Operations Research,Operations Research,,
308,cmsadler,@KimmyKy2 Mathematics (B.S. and M.A. degrees),Math,,
309,kccarrell,"@KimmyKy2 History, Anthropology, Statistics",History,Anthropology,Statistics
310,LarsvonS,@KimmyKy2 Marketing. 🤹‍♂️,Marketing,,
311,beeonaposy,@KimmyKy2 Statistics and English!,Statistics,English,
312,Agnes_Kalibata,"@jacob_deppen @KimmyKy2 All of you are really great!  How diverse! In addition to my work in Ag, I intentionally st… https://t.co/9KpOEITg4t",,,
313,definity,@KimmyKy2 Mathematics.,Math,,
314,LittleMissData,@KimmyKy2 @oscar_b123 Software engineering!,Engineering,,
315,jacob_deppen,@KimmyKy2 Anthropology (specializing in archaeology) with a Geography (GIS) minor.,Anthropology,,
316,monkmanmh,"@KimmyKy2 Geography BSc and MA, with some statistics courses and 1st year CS programming (FORTRAN)",Geography,,
317,schnee,@KimmyKy2 Electrical Engineering and Math,Engineering,Math,
318,JaeheeRyoo,"@KimmyKy2 Still a ways behind on being called a data scientist but for variety, Marine Geography and one additional module in C.",Geography,,
319,akdm_bot,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
320,jeffblackadar,@KimmyKy2 History (I learned R in a digital history course),History,,
321,ben_j_lindsay,"@KimmyKy2 Not quite a data scientist yet, but chemical engineering",Engineering,,
322,DataSciEng,@KimmyKy2 Mechanical engineering PhD / Graduate certificate scientific computing,Engineering,,
323,_Alejandro_AA,"@KimmyKy2 @rstatstweet English, but had a Data Analytics course as an elective and it always stuck with me as I pro… https://t.co/xKlEZiyEvw",English,,
324,HRJ21,"@KimmyKy2 @asiflaldin Pharmacology, then PhD in Immunology.",Phamacology,,
325,ZachSmithingell,"@KimmyKy2 @rstatstweet Public health policy, sort of. I went to evergreen, land of no majors.

But I took stats and econ, too.",Public Health,,
326,DrJuanConde,@KimmyKy2 @machinelearn_d Aerospace engineering,Engineering,,
327,asiflaldin,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
328,mesken_stefan,@KimmyKy2 Mathematics/Computer Science.,Math,Computer Science,
329,machinelearn_d,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
330,DrLeo037,@KimmyKy2 @rstatstweet Cybernetics.  (I lucked in when I chose it.  How was I to know way back then that I'd signed… https://t.co/zvJ02slSyM,Cybernetic Systems,,
331,ruy_valdes,"@KimmyKy2 Just take Stats, Computer Science, and something where you can apply that.",,,
332,Aaron_Hawn,@KimmyKy2 @rstats4ds History. Currently enrolled in an MS Data Science program,History,,
333,Varmer,@KimmyKy2 @rstatstweet Economics and IT management,Economics,IT,
334,JonTheGeek,@KimmyKy2 @oscar_b123 Biochemistry,Biochemistry,,
335,oscar_b123,@KimmyKy2 @rstats4ds Mechanical Engineering,Engineering,,
336,oscar_b123,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
337,rstats4ds,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
338,StatsGary,@KimmyKy2 Applied Business Statistics,Statistics,,
339,jananivijayan1,@KimmyKy2 Mathematics,Math,,
340,jananivijayan1,@SushGopalan @KimmyKy2 @rstatstweet Mathematics,Math,,
341,daniellequinn88,"@KimmyKy2 I'm not sure I consider myself a full-fledged ""data scientist"" (yet), but ... Biology! :)",Biology,,
342,jennifer_ebe,@KimmyKy2 @rstatstweet Mathematics and Statistics,Math,Statistics,
343,berndschmidl,@KimmyKy2 Sociology,Sociology,,
344,rstatstweet,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
